GC,HV,TP,IP
2.775,0.2,1.88,4.172152
3.885,0.2,2.44,4.6011111
5.55,0.2,2.38,8.1665
11.1,0.2,3.04,15.9968
16.65,0.2,3.54,20.1523
22.2,0.2,4.18,26.565
27.75,0.2,4.7,28.3558
2.775,0.3,2.04,3.527
3.885,0.3,2.64,4.1246
5.55,0.3,2.54,7.4143
11.1,0.3,3.26,13.9742
16.65,0.3,3.7,18.0565
22.2,0.3,4.16,23.3849
27.75,0.3,4.82,24.4651
2.775,0.4,2.22,3.097556
3.885,0.4,2.9,3.4611
5.55,0.4,2.82,5.8188
11.1,0.4,3.72,12.1108
16.65,0.4,4.2,16.5141
22.2,0.4,4.96,19.6842
27.75,0.4,5.12,21.6511
2.775,0.5,2.44,2.9734
3.885,0.5,3.8,2.8296
5.55,0.5,3.3,5.1084
11.1,0.5,4.24,10.3836
16.65,0.5,4.92,14.2211
22.2,0.5,5.3,17.2113
27.75,0.5,5.66,20.0348
2.775,0.6,2.92,2.8824
3.885,0.6,4.48,2.9636
5.55,0.6,3.94,4.6358
11.1,0.6,5.06,8.5144
16.65,0.6,5.66,12.0246
22.2,0.6,6.6,15.867
27.75,0.6,6.64,17.9552
2.775,0.2,2.32,2.6922
3.885,0.2,2.48,4.284
5.55,0.2,2.48,7.0026
11.1,0.2,3.68,14.1717
16.65,0.2,3.56,20.8786
22.2,0.2,3.96,25.1583
27.75,0.2,4.24,28.4246
2.775,0.3,2.68,2.4091
3.885,0.3,2.56,4.0159
5.55,0.3,2.78,6.6971
11.1,0.3,3.78,12.2547
16.65,0.3,3.82,17.9745
22.2,0.3,4.04,22.3845
27.75,0.3,4.88,27.3916
2.775,0.4,3.08,2.2944
3.885,0.4,2.92,3.43
5.55,0.4,3.18,5.4269
11.1,0.4,3.84,12.6578
16.65,0.4,4.12,17.4676
22.2,0.4,4.32,19.5182
27.75,0.4,5.24,23.5459
2.775,0.5,3.48,2.0912
3.885,0.5,3.46,3.1567
5.55,0.5,3.64,4.8042
11.1,0.5,5.08,10.1755
16.65,0.5,4.88,14.4167
22.2,0.5,5.34,18.6402
27.75,0.5,5.82,21.7826
2.775,0.6,4.28,1.9101
