GC,HV,TP,IP
50,0.2,1.88,4.172152
70,0.2,2.44,4.6011111
100,0.2,2.38,8.1665
200,0.2,3.04,15.9968
300,0.2,3.54,20.1523
400,0.2,4.18,26.565
500,0.2,4.7,28.3558
50,0.3,2.04,3.527
70,0.3,2.64,4.1246
100,0.3,2.54,7.4143
200,0.3,3.26,13.9742
300,0.3,3.7,18.0565
400,0.3,4.16,23.3849
500,0.3,4.82,24.4651
50,0.4,2.22,3.097556
70,0.4,2.9,3.4611
100,0.4,2.82,5.8188
200,0.4,3.72,12.1108
300,0.4,4.2,16.5141
400,0.4,4.96,19.6842
500,0.4,5.12,21.6511
50,0.5,2.44,2.9734
70,0.5,3.8,2.8296
100,0.5,3.3,5.1084
200,0.5,4.24,10.3836
300,0.5,4.92,14.2211
400,0.5,5.3,17.2113
500,0.5,5.66,20.0348
50,0.6,2.92,2.8824
70,0.6,4.48,2.9636
100,0.6,3.94,4.6358
200,0.6,5.06,8.5144
300,0.6,5.66,12.0246
400,0.6,6.6,15.867
500,0.6,6.64,17.9552
50,0.2,2.32,2.6922
70,0.2,2.48,4.284
100,0.2,2.48,7.0026
200,0.2,3.68,14.1717
300,0.2,3.56,20.8786
400,0.2,3.96,25.1583
500,0.2,4.24,28.4246
50,0.3,2.68,2.4091
70,0.3,2.56,4.0159
100,0.3,2.78,6.6971
200,0.3,3.78,12.2547
300,0.3,3.82,17.9745
400,0.3,4.04,22.3845
500,0.3,4.88,27.3916
50,0.4,3.08,2.2944
70,0.4,2.92,3.43
100,0.4,3.18,5.4269
200,0.4,3.84,12.6578
300,0.4,4.12,17.4676
400,0.4,4.32,19.5182
500,0.4,5.24,23.5459
50,0.5,3.48,2.0912
70,0.5,3.46,3.1567
100,0.5,3.64,4.8042
200,0.5,5.08,10.1755
300,0.5,4.88,14.4167
400,0.5,5.34,18.6402
500,0.5,5.82,21.7826
50,0.6,4.28,1.9101
70,0.6,4.42,2.7326
100,0.6,4.48,4.1412
200,0.6,5.1,9.9073
300,0.6,5.98,12.4559
400,0.6,5.98,15.495
500,0.6,6.62,19.1161
50,0.2,0.18,4.47
70,0.2,0.17,5.79
100,0.2,2.22,7.19
200,0.2,2.79,15.459
300,0.2,3.06,22.08
400,0.2,3.81,26.63
500,0.2,3.72,30.7
50,0.3,0.17,4.24
70,0.3,0.16,4.47
100,0.3,2.24,6.69
200,0.3,2.98,13.97
300,0.3,3.23,19.59
400,0.3,3.73,25.65
500,0.3,3.94,28.82
50,0.4,0.18,3.57
70,0.4,0.17,4.42
100,0.4,2.69,6.01
200,0.4,3.4,12.073
300,0.4,3.48,17.16
400,0.4,4.67,20.6
500,0.4,4.22,25.67
50,0.5,0.22,3.09
70,0.5,0.17,3.41
100,0.5,3.3,4.88
200,0.5,3.85,11.2
300,0.5,4.18,14.22
400,0.5,4.74,18.93
500,0.5,5,20.29
50,0.6,0.32,2.53
70,0.6,0.12,2.8
100,0.6,3.77,4.67
200,0.6,4.37,8.539
300,0.6,4.93,12.36
400,0.6,6.25,14.36
500,0.6,5.9,17.2
50,0.3,0.17,4.36
70,0.3,0.18,4.34
100,0.3,2.28,6.82
200,0.3,2.87,13.655
300,0.3,3.26,18.95
400,0.3,3.75,25.82
500,0.3,3.73,28.77
50,0.4,0.21,3.37
70,0.4,0.17,4.03
100,0.4,2.65,5.98
200,0.4,3.35,11.883
300,0.4,3.67,16.31
400,0.4,4.18,20.27
500,0.4,4.23,24.09
50,0.5,0.22,3.23
70,0.5,0.16,3.24
100,0.5,3.22,4.67
200,0.5,3.82,11.004
300,0.5,4.28,13.33
400,0.5,4.84,18.91
500,0.5,5.07,19.64
50,0.6,0.31,2.32
70,0.6,0.12,2.92
100,0.6,3.59,4.23
200,0.6,4.3,8.056
300,0.6,4.84,11.64
400,0.6,5.59,14.48
500,0.6,5.78,16.64
50,0.2,0.16,4.62
70,0.2,0.19,5.15
100,0.2,2.18,7.92
200,0.2,2.69,15.735
300,0.2,3.04,20.9
400,0.2,3.45,26.23
500,0.2,3.53,31.55
50,0.2,0.19,4.942
70,0.2,0.17,5.627
100,0.2,0.15,7.891
200,0.2,2.71,15.947
300,0.2,3.11,21.946
400,0.2,3.41,27.792
500,0.2,3.62,31.141
50,0.3,0.21,4.149
70,0.3,0.17,5.492
100,0.3,0.15,7.854
200,0.3,3.04,13.699
300,0.3,3.23,20.144
400,0.3,3.61,24.863
500,0.3,4.01,29.187
50,0.4,0.22,4.138
70,0.4,0.2,4.892
100,0.4,0.16,6.253
200,0.4,3.24,12.291
300,0.4,3.72,17.453
400,0.4,4.14,21.306
500,0.4,4.37,24.992
50,0.5,0.18,3.32
70,0.5,0.26,4.028
100,0.5,0.14,5.393
200,0.5,3.71,10.104
300,0.5,4.36,15.365
400,0.5,4.71,17.7
500,0.5,5.1,20.937
50,0.6,0.15,2.881
70,0.6,0.2,3.439
100,0.6,0.18,4.42
200,0.6,4.39,8.273
300,0.6,5.19,12.875
400,0.6,5.92,14.419
500,0.6,6.02,18.012
